"Job Title","Companies","Pay","Location","Date posted","Other information","Job Description"
"Research Fellow (Computer Science) (R00005157)","Nanyang Technological University","","Singapore","Posted on 16-Sep-21","Junior Executive Doctorate (PhD) 1 year Full-Time Sciences, Actuarial/Statistics, Computer/Information Technology, IT-Software 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><div style=""text-align:justify""><strong>School of Computer Science and Engineering (SCSE) invites applications for the position of Research Fellow.</strong></div><div style=""text-align:justify""><strong>Key Responsibilities:</strong></div><ul><li style=""text-align:justify"">Preprocess real brain imaging data for further analytical tasks</li><li style=""text-align:justify"">Perform literature review and background study on graph analytics for brain network analysis</li><li style=""text-align:justify"">Design novel and effective Data Mining &amp; Machine Learning techniques for brain network analysis</li><li style=""text-align:justify"">Develop/implement prototypes of the solutions, and validate their effectiveness empirically</li><li style=""text-align:justify"">Publish the research work in conferences and journals</li></ul><div style=""text-align:justify""><strong>Job Requirements:</strong></div><ul><li style=""text-align:justify"">A PhD degree in Computer Science or a related discipline with a focus on Machine Learning, Data Mining or Statistics</li><li style=""text-align:justify"">Experience in designing and developing graph analytics and/or brain network analysis technologies</li><li style=""text-align:justify"">Good programming skills in e.g. Python, Matlab, C++, etc</li><li style=""text-align:justify"">Good interpersonal skills</li><li style=""text-align:justify"">Excellent teamwork awareness</li><li style=""text-align:justify"">Good communication and writing in English</li><li style=""text-align:justify"">Strong research experience will be a plus</li></ul><div style=""text-align:justify"">We regret that only shortlisted candidates will be notified.</div></div></div></span></div>"
"Business Intelligence (BI) Analyst","NCS Pte Ltd","","North-East","Posted on 12-Sep-21","Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 4 years Full-Time Computer/Information Technology, IT-Software 199603123G More than 5000 Employees 22 days Computer / Information Technology (Software) Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Flexi Benefits, Business Casual","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div>The <strong>Business Intelligence (BI) Analyst</strong> is responsible to collect past and present data in order to establish the fashion of an organization’s operation. The data collected can then be analyzed and put into use with statistical tools for the development.</div><div><strong>Responsibilities:</strong><ul><li>Test, implement and document BI systems.</li><li>Evaluate existing data-collecting and analytics systems.</li><li>Build predictive models and machine-learning algorithms.</li><li>Analyse big data to discover trends and patterns.</li><li>Translate business needs into technical specifications.</li><li>Establish procedures for data sharing with internal and external stakeholders.</li><li>Ensure we use accurate and secure methods to extract data.</li><li>Use data visualization techniques to present information.</li><li>Develop technical design specification and translate technical design into process/program specification. Involve in the design review session.</li><li>Make changes to configurable items, which include hardware, software, documentation, etc.</li><li>Participate in Coding and Code Review.</li><li>Assist in the integration testing, system testing, User Acceptance Test &amp; implementation activities. </li><li>Prepare user manual and operations manual, and plan &amp; facilitate training of users and operators.</li><li>Provide post implementation support (including production support and service requests).</li><li>Escalate and discuss critical issues such as scope creep with the relevant managers.</li><li>Conduct requirement gathering sessions and gap analysis of current business process to identify improvement opportunities.</li><li>Communicate with customers on project issues and/or clarifications.</li><li>Track the progress and provide updates to Project Manager.</li><li>Resolve problems promptly and provide effective solutions.</li></ul><div><strong>The ideal candidate should possess:</strong></div><ul><li>Degree in Computer Science, Engineering or a related discipline</li><li>At least 2 to 4 years of IT Experience in IT business analysis techniques</li><li>Prior experience as a BI Consultant, Data Scientist or similar role</li><li>Experienced with data mining and machine learning</li><li>Knowledge in using business intelligence tools (Tableau and Microsoft BI Power) and data processing frameworks (like Hadoop and Samza)</li><li>Strong skills in statistics and reporting</li><li>Knowledge in using predictive and analytics solutions</li><li>Ability to grasp &amp; understand usability requirements &amp; design</li><li>Good verbal and written communication skills</li></ul></div></div></span></div>"
"Quality Assurance Engineer (Data Platform)","PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd)","","Central","Posted on 12-Sep-21","Junior Executive Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 2 years Full-Time Computer/Information Technology, IT-Software 200701282M 01C4394 R21100261 51 - 200 Employees 27 days Human Resources Management / Consulting","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><div><strong>Descriptions</strong></div><ul><li>You will be part of the talented Data Platform team and build the next-generation, cloud-native and high performance enterprise data warehouse with challenges that are unique, exciting and unprecedented.</li><li>You will be responsible for ensuring engineering and product quality throughout development cycles and release cycles, by estimating, prioritizing, planning and coordinating QA activities.</li><li>Design, build &amp; execute automated tests to validate systems and applications at large scale.</li></ul><div><strong>Requirements</strong></div><ul><li>Bachelor's degree in Computer Science, related technical discipline, or equivalent practical experience.</li><li>Solid software development experience in one or more general purpose programming languages, such as Java/Go/C++/Python.</li><li>Solid understanding of relational database management systems (RDBMS).</li><li>Solid understanding of distributed systems.</li><li>Strong analytical thinking and exceptional attention to details.</li><li>Strong communication skills, being a team player.</li></ul><div>Interested parties, please send your resume to <a class=""__cf_email__"" data-cfemail=""31505c505f55506e48544671415443425e5d5a545d5d481f525e5c"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> or <a class=""__cf_email__"" data-cfemail=""1f4b504c2e5f6f7a6d6c7073747a737366317c7072"" href=""/cdn-cgi/l/email-protection"">[email protected]</a><div>Only shortlisted applicants will be notified by our consultants.</div><div>PERSOLKELLY Singapore Pte. Ltd. | EA license no.: 01C4394</div><div>Yew Zhen Zhen | REG No : R21100261</div></div></div></div></span></div>"
"Quality Assurance Engineer (Data Platform)","PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd)","","Central","Posted on 12-Sep-21","Junior Executive Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Full-Time Computer/Information Technology, IT-Software 200701282M 01C4394 R21100261 51 - 200 Employees 27 days Human Resources Management / Consulting","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><div><strong>Descriptions:</strong></div><ul><li>Part of the talented Data Platform team and build the next-generation, cloud-native and high performance enterprise data warehouse with challenges that are unique, exciting and unprecedented.</li><li>Responsible for ensuring engineering and product quality throughout development cycles and release cycles, by estimating, prioritizing, planning and coordinating QA activities.</li><li>Design, build &amp; execute automated tests to validate systems and applications at large scale.</li></ul><div><strong>Qualifications</strong></div><ul><li>Bachelor's degree in Computer Science, related technical discipline, or equivalent practical experience.</li><li>Solid software development experience in one or more general purpose programming languages, such as Java/Go/C++/Python.</li><li>Solid understanding of relational database management systems (RDBMS).</li><li>Solid understanding of distributed systems.</li><li>Strong analytical thinking and exceptional attention to details.</li><li>Strong communication skills, being a team player.</li></ul><div>Interested parties, please send your resume to <a class=""__cf_email__"" data-cfemail=""95f4f8f4fbf1f4caecf0e2d5e5f0e7e6faf9fef0f9f9ecbbf6faf8"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> or <a class=""__cf_email__"" data-cfemail=""23776c701263534651504c4f48464f4f5a0d404c4e"" href=""/cdn-cgi/l/email-protection"">[email protected]</a><div>Only shortlisted applicants will be notified by our consultants.</div><div>PERSOLKELLY Singapore Pte. Ltd. | EA license no.: 01C4394</div><div>Yew Zhen Zhen | REG No : R21100261</div></div></div></div></span></div>"
"Data Analytics Product Owner","VOLT","","Singapore","Posted 23 hours ago","Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 4 years Contract Computer/Information Technology, IT-Software 200408881M 12C5526 More than 5000 Employees Human Resources Management / Consulting","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><p><strong>Data Analytics Product Owner (2 years contract)</strong></p><p>Looking for a Product Owner to lead a Data Analytics blueprint definition and delivery. You'll be taking ownership of a portfolio of data onboarding, visualization, and predictive models.</p><p>This is a two year contract role, with a salary range of $7000-8000. Only available to Singaporeans at this time.</p><p><strong>The Responsibilities:</strong></p><ul><li>Develop a clear product strategy for the Regional Data Lake and analytics products in line with company objectives</li><li>Create clear product requirements in partnership with HQ and regional stakeholders</li><li>Lead sprint and backlog refinement meetings with the development team</li><li>Collaborate with other product owners and technologists to build and prioritize product roadmap and backlog.</li><li>Provide project management steering and obtain market buy-in for all data relevant topics, with focus on the strategy to become a data driven organization</li><li>Drive the development of an Unified Data Model and provide guidance on how to extract, transform, and load into a data lake for analytical purposes</li><li>Ensure the integration of systems &amp; data in cooperation with the IT department</li><li>Conceptualize dashboards in PowerBI and turn data into KPI's and valuable insights</li><li>Identify business opportunities not currently taken with the help of data visualization and support data-driven decision-making.</li><li>Ensure close collaboration, co-creation and adoption with project stakeholders on several topics such as Salesforce use-cases and big data analytics.</li></ul><p><strong>Qualifications</strong></p><ul><li>Experience with Product Ownership and driving process improvements</li><li>Past experience working in a Data Analytical environment, with a particular focus in driving business value</li><li>Previous experience with Power BI and Statistical Models</li><li>Experience with Cloud Azure is a big plus</li><li>At least basic proficiency in SQL</li><li>Know how in implementing automated marketing journeys</li><li>Ability to write effective user stories with clear acceptance criteria focused on business value</li><li>Experience in Agile working methodology and tools</li></ul><p>Please send your resume in WORD format by clicking the apply button below or contact Ronald Cheung on +65 6701 1521 for a confidential discussion. Please note that only short-listed candidates will be contacted.CEI Reg. Number R2090722 (Cheung Ronald).</p></div></span></div>"
"Data Scientist","Carousell Pte Ltd","","Central - Others","Posted on 8-Sep-21","Senior Executive Not Specified 3 years Full-Time Computer/Information Technology, IT-Software 201300296D 201 - 500 Employees 25 days Retail / Merchandise Casual (e.g. T-shirts) Buona Vista","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><p>Carousell is a classifieds marketplace that makes selling as easy as taking a photo, buying as simple as chatting. Launched in August 2012, Carousell began in Singapore and is now one of the world's largest and fastest growing marketplaces. We have market presence in eight markets (Singapore, Hong Kong, Malaysia, Philippines, Indonesia, Taiwan, Myanmar, and Vietnam) and three technology development centres in Singapore, Taiwan and India.</p><p>Carousell is backed by leading investors, including Telenor Group, Rakuten Ventures, Naver, and Sequoia Capital. The Carousell marketplace has a diverse range of products across a variety of categories, including cars, lifestyle, gadgets and fashion accessories. As a team of passionate individuals working together to solve meaningful problems, there is so much more for you to discover in a career with Carousell.</p><p>You will be part of a talented group of Data Scientists, reporting to Head of Data Science. You will get to work with big volumes of data, converting them into actionable insights / models for both our users and team. You will have the autonomy to lead and explore data science projects to solve key business problems, by working together with a core team of passionate data analysts, scientists and engineers. </p><p>You will get the opportunity to work on a wide variety of impactful &amp; important problem areas like: Item Authority, Price Prediction, Content Moderation, Search &amp; Recommendations, Fraud Detection, User Segmentation, Dynamic Ads Pricing &amp; Placement, Chat Analytics (NLP), Image Search etc.</p><p>The successful candidate must be able to work directly with very large datasets and data science tools &amp; libraries. He/she should be passionate about their work, detail-oriented, scientific, and have excellent problem-solving abilities. </p> <strong>You will:</strong><ul><li>Mines data using modern tools and programming languages. </li><li>Able to handle all aspects of ML model development: data wrangling, feature engineering, model selection / architecture, training, offline evaluation, plans A/B experimentation &amp; productionization</li><li>Defines and implements models to uncover patterns and power predictions creating business value and innovation.</li><li>Work closely with other data scientists / ML engineers in Singapore and India development centers, contributing to the culture of continuous learning &amp; sharing.</li><li>Partner closely with Product Managers &amp; other senior Data Scientists in identifying potential data science solutions to important product / business problems. </li></ul><br/><strong>You have:</strong><ul><li>3+ years exp. as data scientist / ML engineer, with hands on experience of solving multiple product &amp; business problems leveraging machine learning.</li><li>Good university degree in a quantitative discipline (e.g. Computer Science, Mathematics, Statistics, or related field)</li><li>Solid foundation in maths, programming and ML fundamentals</li><li>Strong programming ability in Python, SQL and experience with machine learning frameworks and libraries (e.g. TensorFlow, Keras, Spark MLlib, Sklearn)</li><li>Experience in building ML models at scale, using real-time big data pipelines on platforms such as Spark/MapReduce</li><li>Hands on experience of leveraging Deep Learning to solve a business problem</li><li>Diligent and reliable, with excellent analytical skills, communication skills, and teamwork</li></ul><br/><strong>Good to have</strong>:<ul><li>Experience of solving Data Science problems related to eCommerce or classifieds space, esp. Involving user-generated-content</li><li>Experience of solving marketplace related Data Science problems: content discovery, content moderation, fraud detection etc</li><li>Publications in well-respected conference / journals</li></ul></div></span></div>"
"Sr Staff Bioinformatics Scientist, Emerging Solutions - (26560-JOB)","Illumina Singapore Pte Ltd","","Singapore","Posted on 13-Sep-21","Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree Contract Accounting/Finance, Banking/Financial 200310311H 2001 - 5000 Employees BioTechnology/Pharmaceutical/Clinical research Dental, Education support, Miscellaneous allowance, Medical, Vision, Regular hours, Mondays - Fridays, Casual (e.g. T-shirts) Singapore","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><p><b><span>Position Summary</span></b><br/> </p><p>The cost to sequence a human genome is rapidly decreasing and will approach $100 in the coming years. This is driving the creation of multi-omic data sets, population sequencing of multi-million sample human cohorts, gene expression profiles of millions of cells from a single sample, experiments to characterize the functional consequences of all possible variants in a gene, and surveys of the complete human immune repertoire... and this is just the beginning.</p><p><br/>To derive value and insights from these incredibly deep and varied data sets, genomics has become an information science, requiring investment in modern data engineering, data science, and machine learning capabilities.  Applications range from personalized health care to genetics-informed drug discovery.</p><p><br/>Towards this end, Illumina is enabling the creation of extremely large clinical-genomic datasets and pioneering the application of novel analytical methods, including artificial intelligence, to this data.  </p><p>The Sr Staff Bioinformatics Scientist, Emerging Solutions will lead the Singapore Emerging Solutions team.  This person will work with global colleagues and partners to establish novel genomic data resources, and apply those datasets with customers and partners to advance research, personalized medicine, and drug target discovery.  The Singapore Emerging Solutions team will own and operationalize partnerships in these application areas within the Asia Pacific region. </p><p><b>Responsibilities: </b></p><ul><li>Grow the Emerging Solutions team in Singapore. Hire, mentor and lead junior members of the team</li><li>Help define the technical roadmap for Illumina's emerging data offerings in collaboration with the global Emerging Solutions team</li><li>Identify emerging data applications in genomics and the industry and academic collaborations and partnerships required to realize them</li><li>Represent Illumina with customers and partners in emerging data applications in the Asia Pacific region</li><li>Plan and execute on pilot studies with partners</li><li>Work collaboratively with teammates, other teams within Illumina, and with external collaborators and partners to apply novel genomic data sets and tools to precision medicine and drug development</li><li>Identify and accommodate global and local partner requirements that impact data sharing, and develop appropriate privacy-preserving solutions in collaboration with Emerging Solutions software engineering colleagues.</li><li>Analyse and evaluate clinical-genomic datasets in the context of drug development, and work with data providers to better satisfy this need.  Evaluate, apply, and improve as necessary genomic analysis methods for this use case.</li><li>Map Illumina's and potential partners' technical capabilities to the biopharmaceutical problem domain to identify opportunities and gaps.  Perform technical due diligence on potential partners.</li><li>Drive development of components identified as gaps.  Integrate existing capabilities as needed to address industry needs.</li></ul><p>Listed responsibilities are an essential, but not exhaustive list, of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs.</p><p><b>Requirements: </b></p><ul><li>At least 5 years managing technical teams</li><li>Experience working with customers, government partners, or standards bodies</li><li>Strong proficiency in Python (or R) for data analysis and visualization.  (Jupyter)</li><li>First-hand experience applying genomics to drug development or personalized medicine applications</li><li>Software development expertise preferred (production quality code in an agile environment)</li><li>Experience with database technologies (SQL &amp; no-SQL) </li><li>Experience analyzing and managing large genomic data sets, ideally with linked clinical data.</li><li>Population/statistical genomics experience </li><li>Experience with biomedical ontologies and knowledge graphs</li><li>Familiarity with machine learning concepts, and ideally experience applying, troubleshooting, and improving ML algorithms in the biomedical domain</li><li>Ability to distill and iterate on requirements in an emerging problem space</li><li>Excellent communication skills and proven ability to articulate complex concepts to both technical and non-technical colleagues</li></ul><p>All listed requirements are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.</p><p><b>Experience/Education: </b></p><ul><li>Typically requires a Master's degree in Bioinformatics, Biological Sciences, Genetics, Genomics or related field and 8 years or relevant experience; or a PhD with 5 years' experience; or equivalent experience.</li></ul>Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.</div></span></div>"
"Manager, Engineering Data Analysis (Data Science)","Marina Bay Sands Pte Ltd","","","Posted on 10-Sep-21","Manager Bachelor's Degree Sciences, Actuarial/Statistics 200507292R More than 5000 Employees Hotel / Hospitality","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><p><strong>Position Overview</strong></p><p>The primary responsibility of the Manager, Engineering Data Analysis is to ensure a data-driven approach to operation and maintenance of Las Vegas Sands Corp properties. In addition, ensuring that the company is at the forefront of technology to monitor and control for best in class operational and maintenance standards.</p><p>All duties are to be performed in accordance with departmental and Las Vegas Sands Corp.’s policies, practices, and procedures.</p><p><strong><u>KEY RESPONSIBILITIES</u></strong></p><ul><li>Drive implementation of data-driven operating model in properties with relevant KPIs</li><li>Identify robust database metrics and implement transparent and standardized reporting structure across the properties</li><li>Collect, process and perform analyses of relevant operational and financial data in the properties</li><li>Work with global and local Facilities and Engineering organization to identify opportunities for improvement</li><li>Create presentations and reports based on recommendations and findings</li><li>Establish global KPI structure to measure effectiveness of the global and local Facilities organization</li><li>Lead master data management in Facilities including but not limited to nomenclature and standardization</li><li>Drive process efficiencies and ensure best practices are captured and implemented globally</li><li>Give input to global and local sustainability projects</li><li>Perform other related duties as assigned</li></ul><p><strong><u>JOB REQUIREMENTS</u></strong></p><ul><li>Minimum of 3 years relevant analytics experience required</li><li>Ability to operate in a global organization with operations in numerous countries with varying cultures</li><li>Ability to travel internationally</li><li>Bachelors’ Degree in finance, statistics, mathematics or related field required</li><li>Strong project management and organizational excellence skills</li><li>Ability to read and communicate effectively in standard English in written and oral business communications</li><li>Regular and reliable attendance is an essential function of the job  </li></ul><p><em>You agree that it is a condition of employment that you adhere to and abide by all rules, regulations, policies and procedures including without limitation the rules of conduct of the Company.</em></p></div></span></div>"
"Data Engineer (Permanent Role)","Helius Technologies Pte Ltd","","Central","Posted on 10-Sep-21","Junior Executive Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Computer/Information Technology, IT-Software 200607340H 11C3373 R1544992 1 - 50 Employees 26 days Human Resources Management / Consulting Regular hours, Mondays - Fridays, Business (e.g. Shirts)","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><strong>Data Engineer (Permanent Role, Central Singapore)</strong><div><br/>Job Scope:<br/>• Design and build resilient the organization's data pipelines (batch and real-time streaming datas)<br/>• Work on data processing tools such as Spark, Beam<br/>• Team up with the product managers, software engineers, data analysts and data scientists to build scalable and data-driven platforms and tools</div><div><br/><strong>Minimum Skills Required:</strong></div><div><br/>• Bachelor’s Degree in Computer Science or have equivalent professional experience<br/>• 2 years experience with data processing tools such as Spark, Beam, Flink<br/>• Some background of cloud (e.g. AWS, GCP, Azure)<br/>• Experience implementing batch and streaming data pipelines<br/>• Good technical background in writing efficient SQL<br/>If you are qualified and keen to apply, pls send your CV to: <a class=""__cf_email__"" data-cfemail=""e4968b868da4"" href=""/cdn-cgi/l/email-protection"">[email protected]</a> helius-tech.com</div><br/><strong>DE GUZMAN, ROBI ANNE TIMOTEO<br/>RECRUITMENT MANAGER</strong><br/>EA Licence No: 11C3373<br/>A Registration No.: R1544992</div></div></span></div>"
"Data Science Instructor (2 years Contract) - 2411 - JT","CTES Consulting Pte Ltd","","Central","Posted on 10-Sep-21","Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time, Contract Education/Training, Training & Dev., Computer/Information Technology, IT-Software 200509226D 07C3481 R1104237 1 - 50 Employees Human Resources Management / Consulting","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><div><strong>Our client is actively searching for a Data Science Instructor, 2 years contract to join their team!</strong></div><div><br/><strong>If you are a dynamic individual seeking a new career opportunity, read further!</strong></div><div><strong>The responsibilities of this role are:</strong></div><ul><li>Design, plan and develop curriculum, teaching materials and assessment in data science field</li><li>Delivery of courses, workshops and seminars in data science field</li><li>Collaborate and co-create with the University's partners and clients based on their training needs to customize and contextualize training to deliver value to learners.</li><li>Support business development and marketing of the University's course offerings</li><li>Provide data science consultancy to the University's partners and clients</li></ul><strong>The ideal candidate will need to have the following qualities and experience:</strong><ul><li>Preferably a Master’s degree in Data Science, Computer Science, Engineering or Statistics</li><li>Minimum 2 to 3 years of working experience in data science related field.</li><li><strong>Knowledge and experience in data science field including but not limited to data warehousing, data mining, data analytics, data visualization, data storytelling, machine learning, deep learning and artificial intelligence</strong></li><li>Knowledge and experience of coding using <strong>Python and R.</strong></li></ul><div><strong>An exciting career awaits the right candidate! Click ""Quick Apply"" to register your interest now.</strong></div><div><strong>All applicants' CV will be treated with the strictest confidentiality. We regret to inform that only shortlisted candidates will be contacted.</strong></div></div></div></span></div>"
"Research Fellow (ATORG)","National Cancer Centre Singapore Pte Ltd","","Bukit Merah","Posted on 14-Sep-21","Junior Executive Not Specified Contract Education/Training, Education 199801562Z 501 - 1000 Employees 24 days Healthcare / Medical Dental, Medical, Flexi- benefits, uniform and non-uniform, Regular Hours - Mondays to Fridays and Saturdays (half day)","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><p>NCCS is a world class comprehensive cancer center. We collaborate widely with local and global academic institutions as well as industry to perform cutting edge translational research. We are currently setting up a cancer vaccine program that leverages expertise developed in house, with collaborators at A*STAR, as well as local biotech start up. We plan to perform first in human studies next year and are currently in the process of putting together the preclinical package for submission of regulatory application for use of an investigational new drug (IND) of bespoke cancer vaccines especially for lung cancer.</p><p><strong>Job Responsibilities:</strong></p><ul><li>Coordinate preclinical efficacy studies, addressing gaps required for IND submission.</li><li>Lead both intellectually and experimentally to advance cancer vaccine projects through preclinical and clinical development.</li><li>Design experiments <em>(in-vitro and in-vivo), </em>analyse and execute individually</li><li>Keep accurate record of experiments and results.</li><li>Communicate results clearly with all parties involved to contribute to daily advancement of cancer vaccine programs and strategic decisions.</li><li>Coordinate with NCCS and various stakeholders to identify the neo-antigen profiles and establish immune profile data from patient's tumor samples.</li><li>Develop assays for selection of patients suitable for cancer vaccine therapy as well as to monitor response of patients on treatment.</li></ul><p><strong>Job Requirements:</strong></p><ul><li>PhD in Immunology, oncology or related fields</li><li>Strong background in tumor immuno-oncology, human immune cell biology and a good knowledge in cancer vaccine</li><li>Solid expertise in immunology assays including immune cell isolation, T-cell activation and T-cell killing of tumor cells</li><li>Prior experimental experience in cancer vaccine is a plus</li><li>Excellent written/oral communication skills and strong track record of scientific publications</li><li>Able to work in fast-paced environment and multi-task</li><li>Managerial and project coordination abilities and experience is a plus</li></ul></div></span></div>"
"Senior Data Scientist - (Job Number: 210001EN)","The Great Eastern Life Assurance Co Ltd","SGD 6,000 - SGD 9,000","Singapore","Posted on 9-Sep-21","Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 5 years Full-Time Computer/Information Technology, IT-Software, Sciences, Actuarial/Statistics 190800011G 2001 - 5000 Employees Insurance","<div class=""vDEj0_0"" data-automation=""jobDescription""><span class=""sx2jih0 zcydq82q _18qlyvc0 _18qlyvcv _18qlyvc1 _18qlyvc8""><div class=""sx2jih0""><div><div style=""text-align:justify""><strong>Job Purpose</strong></div><div style=""text-align:justify"">Reporting to the Lead of Data Science, this role is responsible to ensure the successful delivery of group wide data science initiatives. These initiatives typically include the application of data science models on structured, semi structured and unstructured data to derive business insights with a potential to drive business performance.</div><div style=""text-align:justify"">The Senior Data Scientist is expected to work closely with key stakeholders and possess the relevant technical skills required to implement analytics solutions that enable the use of data as a strategic asset.</div><div style=""text-align:justify""><strong>The Job</strong></div><ul><li style=""text-align:justify"">Participate in the build of group wide data science capabilities, with a focus on organizing, analysing and interpreting data to uncover patterns and trends and establishing how these findings can help increase business value through making better informed decisions.</li><li style=""text-align:justify"">Perform exploratory data analysis, build and enhance data science models to help drive business performance.</li><li style=""text-align:justify"">Work closely with business stakeholders to drive integration and adoption of analytics insights into new and existing business processes by demonstrating the ability to communicate the business benefits provided by analytics insights.</li><li style=""text-align:justify"">Conduct regular reviews on planned and existing Analytics initiatives and identify ways to develop integrated analytics solutions across geography and function.</li><li style=""text-align:justify"">Support the build of contextual data marts where necessary to advance the build of analytics models.</li><li style=""text-align:justify"">Support the build of visual dashboards primarily aimed at monitoring the outcomes of data science models.</li><li style=""text-align:justify"">Ensure all analytics project undertaking comply with both internal and external policies, guidelines and regulations.</li><li style=""text-align:justify"">Provide group level support to extended Analytics team based in other GE offices.</li><li style=""text-align:justify"">Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks.</li><li style=""text-align:justify"">Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company.</li><li style=""text-align:justify"">Highlights any potential concerns /risks and proactively shares best risk management practices.</li></ul><div style=""text-align:justify""><strong>Our Requirements</strong></div><ul><li style=""text-align:justify"">Masters or BS in Business Analytics, Computer Science, Statistics, Economics, Actuarial Science or equivalent disciplines that focuses on extensive use of data for analysis.</li><li style=""text-align:justify"">5 to 7 years of experience participating in data science and analytics projects as an individual contributor required.</li><li style=""text-align:justify"">Experience in insurance or financial services industry is a plus.</li><li style=""text-align:justify"">Working level competency in SQL programming and standard MS Office applications required.</li><li style=""text-align:justify"">Working level competency in at least one programming language such as SAS, Python and R required.</li><li style=""text-align:justify"">Knowledge in statistical and data mining techniques: GLM, Regression, Random Forest, Boosting, Trees, Text mining, social network analysis, etc.</li><li style=""text-align:justify"">Practical knowledge in open source libraries such as scikit-learn, numpy, TensorFlow etc. is preferred.</li><li style=""text-align:justify"">Experience in data visualization software such as Tableau is a plus.</li><li style=""text-align:justify"">High level of integrity, takes accountability of work and good attitude over teamwork.</li><li style=""text-align:justify"">Takes initiative to improve current state of things and adaptable to embrace new changes.</li></ul><div style=""text-align:justify""><strong>To all recruitment agencies:</strong> Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes.</div></div></div></span></div>"
